brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
Volkswagen,ID. Buzz,2023,Performance,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,AWD,7,Truck,54.2,2015.0,4,2,Germany,Luxury,202182,4.0,4
Toyota,bZ Compact SUV,2022,Premium,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,FWD,5,SUV,69.0,1709.0,4,0,Japan,Mid-range,7146,3.56,3
GM/Chevrolet,Bolt EV,2024,Premium,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,AWD,5,Van,77.0,1533.0,4,1,US,Mid-range,16590,3.7,3
Kia,Sportage EV,2024,Long Range,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,AWD,7,SUV,65.8,1935.0,4,2,South Korea,Mid-range,127201,3.81,3
Tesla,Model 3,2022,Long Range,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,RWD,5,SUV,38.3,2229.0,4,2,US,Luxury,196401,3.83,4
Tesla,Model Y,2023,Performance,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,AWD,5,Hatchback,35.5,1751.0,5,3,US,Luxury,411764,3.67,5
Tesla,Model 3,2024,Premium,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,RWD,5,Coupe,39.3,1500.0,5,2,US,Luxury,213937,3.54,6
Mercedes,EQS,2025,Performance,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,RWD,7,SUV,61.2,2219.0,4,2,Germany,Luxury,48277,4.11,8
Kia,Niro EV,2021,Premium,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,AWD,7,Hatchback,36.7,1511.0,3,1,South Korea,Premium,90830,3.11,4
GM/Chevrolet,Blazer EV,2025,Base,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,FWD,7,Van,67.6,1520.0,5,2,US,Mid-range,8761,3.46,5
Tesla,Model S,2026,Long Range,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,AWD,5,Sedan,26.7,1720.0,4,2,US,Luxury,211478,3.78,4
Fisker,Ronin,2025,Standard,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,AWD,7,Truck,64.7,2536.0,3,2,US,Premium,2408,3.67,5
Mercedes,EQG,2025,Performance,210811.92,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,RWD,7,Hatchback,17.6,1562.0,5,2,Germany,Luxury,56039,3.59,7
BYD,Seagull,2023,Base,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,FWD,5,Coupe,26.9,1744.0,5,0,China,Budget,224997,3.58,5
Tesla,Model 3,2024,Premium,95912.83,49.8,167.0,241.7,7.45,138.0,716.0,627.0,FWD,7,Sedan,15.7,1556.0,4,3,US,Premium,124780,3.56,5
Tesla,Model S,2024,Premium,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,RWD,5,Van,76.0,1500.0,5,2,US,Luxury,235048,3.81,5
BYD,Atto 3,2024,Standard,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,RWD,7,Truck,72.2,2756.0,5,1,China,Mid-range,204232,3.52,4
Hyundai,Kona Electric,2024,Premium,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,RWD,5,Coupe,21.9,1750.0,4,1,South Korea,Mid-range,132242,3.43,5
Volkswagen,ID.4,2024,Long Range,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,AWD,7,Sedan,38.7,1634.0,4,0,Germany,Premium,238587,3.37,4
BYD,Atto 3,2024,Premium,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,AWD,5,Van,60.6,1500.0,3,1,China,Premium,168778,3.53,3
Kia,Picanto EV,2025,Premium,106848.2,54.1,193.0,132.7,7.95,135.0,1000.0,855.0,AWD,5,Coupe,26.9,1500.0,4,1,South Korea,Luxury,85618,3.33,5
Tesla,Cybertruck,2023,Base,70531.96,70.5,256.0,281.7,5.5,165.0,507.0,445.0,AWD,7,Truck,72.0,2290.0,5,2,US,Premium,209622,3.6,4
BYD,Yuan Plus,2024,Performance,114839.62,76.6,293.0,185.3,3.42,200.0,1000.0,902.0,RWD,5,SUV,68.0,1978.0,5,0,China,Luxury,229532,3.41,4
Volkswagen,ID.5,2024,Long Range,51142.17,101.7,359.0,99.2,5.15,161.0,493.0,434.0,RWD,5,Coupe,26.9,1500.0,4,0,Germany,Mid-range,203079,3.64,5
Volkswagen,ID. Aero,2026,Standard,59824.88,70.9,263.0,63.4,5.9,167.0,618.0,540.0,AWD,5,Sedan,34.8,1781.0,3,0,Germany,Mid-range,293709,3.28,5
Ford,Mustang Mach-E,2025,Performance,96527.54,75.2,286.0,178.0,3.87,188.0,1000.0,924.0,FWD,7,Coupe,38.9,1500.0,3,1,US,Premium,67670,3.6,4
Tesla,Model X,2023,Standard,67772.81,53.3,175.0,320.5,7.79,128.0,501.0,445.0,FWD,5,Sedan,28.7,1539.0,5,2,US,Premium,207968,3.36,6
Hyundai,Ioniq 6,2025,Performance,86045.75,96.3,314.0,180.3,3.08,200.0,1000.0,905.0,RWD,7,Hatchback,27.4,1500.0,5,0,South Korea,Premium,124864,3.57,4
Kia,EV9,2024,Standard,66876.75,66.7,236.0,96.7,6.02,164.0,754.0,647.0,RWD,5,SUV,66.8,1980.0,4,2,South Korea,Premium,117514,3.53,3
Tesla,Model Y,2025,Performance,135780.6,105.2,383.0,344.9,4.02,196.0,997.0,903.0,AWD,5,Truck,69.0,2015.0,5,2,US,Luxury,411097,4.12,5
Kia,Niro EV,2024,Performance,105946.66,79.3,245.0,222.0,3.24,200.0,1000.0,919.0,RWD,7,Coupe,15.9,1701.0,4,1,South Korea,Luxury,147459,3.43,3
Tesla,Model X,2025,Base,110771.86,52.9,177.0,216.7,6.55,151.0,826.0,728.0,AWD,5,SUV,35.7,1959.0,4,2,US,Luxury,179640,3.42,5
Tesla,Cybertruck,2024,Performance,42827.24,89.9,311.0,240.1,2.94,200.0,263.0,241.0,AWD,5,Truck,55.5,2122.0,4,3,US,Mid-range,133489,3.82,5
Toyota,bZ Compact SUV,2020,Long Range,70748.34,94.2,335.0,104.7,5.66,169.0,818.0,760.0,AWD,5,SUV,66.5,2056.0,5,0,Japan,Premium,2261,3.72,4
Fisker,Ronin,2026,Base,50395.94,63.9,243.0,106.1,7.33,147.0,334.0,275.0,FWD,7,Sedan,34.5,1500.0,5,1,US,Mid-range,11950,3.48,4
Ford,E-Transit,2025,Performance,69597.51,106.2,361.0,219.0,3.88,192.0,783.0,728.0,AWD,5,Sedan,38.9,1500.0,5,1,US,Premium,24574,3.79,3
BYD,Leaf 50X,2025,Standard,31434.26,60.6,229.0,98.1,7.69,136.0,285.0,269.0,RWD,5,Hatchback,31.5,1643.0,4,0,China,Budget,242953,3.29,4
Tesla,Model X,2023,Base,109503.65,47.9,155.0,304.7,6.19,164.0,825.0,733.0,RWD,5,Van,72.8,1500.0,5,3,US,Luxury,174834,3.59,4
BMW,i7,2025,Performance,156773.89,81.4,266.0,182.2,4.2,190.0,1000.0,908.0,AWD,5,Truck,76.8,2499.0,5,1,Germany,Luxury,58126,3.6,5
Volkswagen,ID.3,2021,Long Range,52966.98,96.8,311.0,134.7,5.8,171.0,460.0,436.0,RWD,5,Coupe,20.6,1853.0,5,0,Germany,Mid-range,232633,3.55,5
Tesla,Cybertruck,2024,Standard,121805.3,58.9,204.0,274.6,5.61,173.0,850.0,776.0,FWD,7,Truck,56.2,2502.0,4,3,US,Luxury,225373,3.75,5
Hyundai,Ioniq 6,2025,Standard,69769.46,63.2,212.0,79.0,7.79,133.0,890.0,734.0,FWD,5,Hatchback,28.1,1500.0,4,0,South Korea,Premium,50147,3.21,4
Tesla,Model X,2024,Long Range,117517.98,101.0,350.0,245.4,4.65,186.0,881.0,810.0,AWD,5,Truck,80.0,2225.0,5,2,US,Luxury,122440,3.96,5
Audi,e-tron GT,2025,Standard,53762.11,52.1,156.0,112.8,6.45,154.0,207.0,200.0,FWD,5,Coupe,17.6,1899.0,4,2,Germany,Mid-range,69650,3.68,7
BYD,Max,2024,Base,24029.61,45.6,153.0,53.1,5.16,177.0,211.0,200.0,FWD,5,Sedan,32.5,1669.0,5,0,China,Budget,157077,3.46,3
BMW,i3,2024,Long Range,120387.4,79.4,285.0,134.3,4.2,193.0,1000.0,988.0,RWD,5,Truck,62.9,2464.0,4,2,Germany,Luxury,62864,3.27,8
BYD,Atto 3,2025,Base,26682.38,53.9,199.0,117.3,7.39,137.0,274.0,206.0,FWD,7,Truck,68.8,2367.0,4,0,China,Budget,158602,3.26,3
Hyundai,Ioniq,2025,Base,45100.09,79.5,257.0,85.6,5.25,174.0,478.0,396.0,AWD,5,Hatchback,39.6,1705.0,4,1,South Korea,Mid-range,128526,3.61,4
Kia,Sportage EV,2023,Standard,77484.79,81.2,284.0,147.7,5.31,169.0,923.0,832.0,FWD,5,SUV,55.4,2017.0,3,1,South Korea,Premium,101678,3.34,4
Tesla,Model Y,2023,Standard,98108.77,46.5,150.0,338.8,5.21,174.0,760.0,665.0,FWD,5,SUV,44.4,2146.0,5,2,US,Premium,431290,3.33,4
Fisker,Ronin,2020,Performance,143106.79,75.3,272.0,170.3,3.68,197.0,1000.0,935.0,AWD,5,Hatchback,38.4,1705.0,4,1,US,Luxury,18708,3.53,4
Ford,F-150 Lightning,2026,Base,52266.72,73.4,268.0,58.4,7.42,137.0,514.0,472.0,FWD,2,Truck,50.3,2850.0,5,0,US,Mid-range,62843,3.72,3
NIO,ET6,2025,Performance,60624.73,82.4,278.0,174.8,2.63,200.0,476.0,420.0,RWD,7,SUV,48.0,2138.0,4,0,China,Mid-range,8857,3.49,4
Audi,e-tron GT,2025,Base,63332.23,84.4,310.0,92.7,5.62,162.0,284.0,288.0,RWD,7,Coupe,31.7,1565.0,5,1,Germany,Mid-range,62327,3.85,6
Kia,Sportage EV,2024,Long Range,95244.75,77.2,262.0,94.4,4.04,194.0,1000.0,842.0,AWD,5,SUV,67.4,2045.0,4,1,South Korea,Premium,76023,3.44,3
Rivian,R3,2024,Base,66816.36,69.9,247.0,118.5,5.33,171.0,150.0,200.0,AWD,5,Sedan,23.9,1757.0,5,0,US,Premium,27456,3.39,6
Tesla,Model X,2025,Base,73015.63,82.4,304.0,275.5,5.58,156.0,528.0,501.0,RWD,7,Truck,62.4,2036.0,5,2,US,Premium,173406,3.75,5
Tesla,Cybertruck,2025,Performance,117415.98,78.1,263.0,215.8,2.94,200.0,927.0,847.0,AWD,5,Truck,61.7,2353.0,5,2,US,Luxury,183531,3.7,5
Tesla,Model 3,2025,Standard,71316.86,73.9,249.0,282.0,6.73,144.0,502.0,509.0,RWD,5,SUV,52.9,2053.0,5,3,US,Premium,242716,3.7,5
BYD,Leaf 50X,2025,Base,59005.52,58.4,200.0,121.5,7.64,137.0,667.0,633.0,RWD,5,Van,76.9,1500.0,5,0,China,Mid-range,127516,3.31,5
Volkswagen,ID. Aero,2024,Long Range,42431.05,88.6,306.0,104.2,5.94,166.0,337.0,286.0,AWD,5,Coupe,39.7,1590.0,3,1,Germany,Mid-range,260840,3.53,4
BYD,Dolphin,2024,Performance,30671.06,87.5,303.0,233.1,4.18,190.0,345.0,269.0,AWD,5,Sedan,29.5,1815.0,5,0,China,Budget,201621,3.28,4
Mercedes,EQC,2025,Performance,188302.14,78.5,277.0,225.0,4.32,185.0,1000.0,943.0,RWD,7,Coupe,28.5,1500.0,4,2,Germany,Luxury,43172,4.0,7
Volkswagen,ID.4,2023,Long Range,94330.19,105.4,383.0,105.8,5.17,177.0,1000.0,868.0,FWD,7,Sedan,21.8,1500.0,5,1,Germany,Premium,232451,3.95,3
